ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-03,134523.9766728,-112582.62631450471,267886.6408609497,134523.9766728,134523.9766728,-57494.82778559371,-57494.82778559371,-57494.82778559371,-57494.82778559371,-57494.82778559371,-57494.82778559371,0.0,0.0,0.0,77029.14888720628
2021-01-10,134491.56937330947,-60577.41706750284,336367.3116146554,134491.56937330947,134491.56937330947,2590.915517165699,2590.915517165699,2590.915517165699,2590.915517165699,2590.915517165699,2590.915517165699,0.0,0.0,0.0,137082.48489047517
2021-01-17,134459.16207381894,34805.35293543988,407389.7414834088,134459.16207381894,134459.16207381894,92572.24770644815,92572.24770644815,92572.24770644815,92572.24770644815,92572.24770644815,92572.24770644815,0.0,0.0,0.0,227031.4097802671
2021-01-24,134426.75477432844,50448.255097541376,440389.379574456,134426.75477432844,134426.75477432844,119190.53506801336,119190.53506801336,119190.53506801336,119190.53506801336,119190.53506801336,119190.53506801336,0.0,0.0,0.0,253617.2898423418
2021-01-31,134394.3474748379,-41268.17313239508,367066.55780487746,134394.3474748379,134394.3474748379,45033.798749752714,45033.798749752714,45033.798749752714,45033.798749752714,45033.798749752714,45033.798749752714,0.0,0.0,0.0,179428.14622459063
2021-02-07,134361.94017534738,-120558.18859381348,266706.69322141976,134361.94017534738,134361.94017534738,-60515.8675023619,-60515.8675023619,-60515.8675023619,-60515.8675023619,-60515.8675023619,-60515.8675023619,0.0,0.0,0.0,73846.07267298548
2021-02-14,134329.53287585682,-155712.04017994614,234780.15854022978,134329.53287585682,134329.53287585682,-96018.42037535737,-96018.42037535737,-96018.42037535737,-96018.42037535737,-96018.42037535737,-96018.42037535737,0.0,0.0,0.0,38311.112500499454
2021-02-21,134297.1255460256,-95985.50530905132,279267.7884622554,134297.1255460256,134297.1255460256,-41366.81818434015,-41366.81818434015,-41366.81818434015,-41366.81818434015,-41366.81818434015,-41366.81818434015,0.0,0.0,0.0,92930.30736168547
2021-02-28,134264.71821619436,-36739.325674453554,350831.7844971594,134264.71821619436,134264.71821619436,26275.2691466826,26275.2691466826,26275.2691466826,26275.2691466826,26275.2691466826,26275.2691466826,0.0,0.0,0.0,160539.98736287697
2021-03-14,134199.90355653188,-70806.95531911477,315784.81393092783,134199.90355653188,134199.90355653188,-13145.185531749927,-13145.185531749927,-13145.185531749927,-13145.185531749927,-13145.185531749927,-13145.185531749927,0.0,0.0,0.0,121054.71802478195
2021-03-21,134167.49622670063,-93430.01574184626,303005.5732464869,134167.49622670063,134167.49622670063,-27436.208248060455,-27436.208248060455,-27436.208248060455,-27436.208248060455,-27436.208248060455,-27436.208248060455,0.0,0.0,0.0,106731.28797864018
2021-03-28,134135.0888968694,-35244.318896724544,347176.70921107463,134135.0888968694,134135.0888968694,23421.451557930955,23421.451557930955,23421.451557930955,23421.451557930955,23421.451557930955,23421.451557930955,0.0,0.0,0.0,157556.54045480036
2021-04-04,134102.68156703818,28810.65891854606,409895.0561639964,134102.68156703818,134102.68156703818,83760.49829182256,83760.49829182256,83760.49829182256,83760.49829182256,83760.49829182256,83760.49829182256,0.0,0.0,0.0,217863.17985886073
2021-04-18,134037.8669111372,-67158.42098329132,320497.7585081429,134037.8669111372,134037.8669111372,-643.9664346494719,-643.9664346494719,-643.9664346494719,-643.9664346494719,-643.9664346494719,-643.9664346494719,0.0,0.0,0.0,133393.9004764877
2021-04-25,134005.45958318672,-107362.75741275605,250726.63599635608,134005.45958318672,134005.45958318672,-66443.13381613274,-66443.13381613274,-66443.13381613274,-66443.13381613274,-66443.13381613274,-66443.13381613274,0.0,0.0,0.0,67562.32576705398
2021-05-09,133940.64492728573,-51680.345663620705,329692.8717641851,133940.64492728573,133940.64492728573,1657.3167774651063,1657.3167774651063,1657.3167774651063,1657.3167774651063,1657.3167774651063,1657.3167774651063,0.0,0.0,0.0,135597.96170475084
2021-05-16,133908.23759933526,-31883.829707562636,350495.89186319604,133908.23759933526,133908.23759933526,28194.109309465173,28194.109309465173,28194.109309465173,28194.109309465173,28194.109309465173,28194.109309465173,0.0,0.0,0.0,162102.34690880042
2021-05-23,133875.83027138477,-64283.33238430574,312606.2536528283,133875.83027138477,133875.83027138477,-12639.282762675284,-12639.282762675284,-12639.282762675284,-12639.282762675284,-12639.282762675284,-12639.282762675284,0.0,0.0,0.0,121236.54750870948
2021-05-30,133843.42273070134,-129367.06841951371,252244.44357931492,133843.42273070134,133843.42273070134,-71116.37651215552,-71116.37651215552,-71116.37651215552,-71116.37651215552,-71116.37651215552,-71116.37651215552,0.0,0.0,0.0,62727.04621854582
2021-06-06,133811.01519001788,-111640.15016931688,260338.6599464794,133811.01519001788,133811.01519001788,-78129.67117037174,-78129.67117037174,-78129.67117037174,-78129.67117037174,-78129.67117037174,-78129.67117037174,0.0,0.0,0.0,55681.34401964613
2021-06-13,133778.60764933444,-90699.341161982,290444.4899741919,133778.60764933444,133778.60764933444,-29733.552553064656,-29733.552553064656,-29733.552553064656,-29733.552553064656,-29733.552553064656,-29733.552553064656,0.0,0.0,0.0,104045.05509626979
2021-06-20,133746.20010865098,-46417.42885848862,341064.2570135118,133746.20010865098,133746.20010865098,13541.603584226745,13541.603584226745,13541.603584226745,13541.603584226745,13541.603584226745,13541.603584226745,0.0,0.0,0.0,147287.80369287773
2021-07-04,133681.3850272841,-97390.54418741337,286919.16903897014,133681.3850272841,133681.3850272841,-34287.56820732708,-34287.56820732708,-34287.56820732708,-34287.56820732708,-34287.56820732708,-34287.56820732708,0.0,0.0,0.0,99393.81681995702
2021-07-11,133648.97748660063,-120483.57592796061,279317.90708681295,133648.97748660063,133648.97748660063,-50920.643811494265,-50920.643811494265,-50920.643811494265,-50920.643811494265,-50920.643811494265,-50920.643811494265,0.0,0.0,0.0,82728.33367510638
2021-07-18,133616.56964293425,-90749.86513254781,298435.78503850196,133616.56964293425,133616.56964293425,-29420.149528061356,-29420.149528061356,-29420.149528061356,-29420.149528061356,-29420.149528061356,-29420.149528061356,0.0,0.0,0.0,104196.42011487289
2021-07-25,133584.1617992678,-62791.81689925388,314906.78737263073,133584.1617992678,133584.1617992678,-6587.205651853038,-6587.205651853038,-6587.205651853038,-6587.205651853038,-6587.205651853038,-6587.205651853038,0.0,0.0,0.0,126996.95614741476
2021-08-01,133551.7539556014,-81549.55270420534,300996.6401075791,133551.7539556014,133551.7539556014,-16151.172288323474,-16151.172288323474,-16151.172288323474,-16151.172288323474,-16151.172288323474,-16151.172288323474,0.0,0.0,0.0,117400.58166727792
2021-08-08,133519.34611193498,-99433.476905754,282127.11881344847,133519.34611193498,133519.34611193498,-43052.56038157509,-43052.56038157509,-43052.56038157509,-43052.56038157509,-43052.56038157509,-43052.56038157509,0.0,0.0,0.0,90466.7857303599
2021-08-15,133486.93826826857,-91392.0805551466,289673.41114427976,133486.93826826857,133486.93826826857,-48017.8081165647,-48017.8081165647,-48017.8081165647,-48017.8081165647,-48017.8081165647,-48017.8081165647,0.0,0.0,0.0,85469.13015170387
2021-08-22,133454.53042460213,-74184.89799806589,297587.9800452805,133454.53042460213,133454.53042460213,-24798.73851608891,-24798.73851608891,-24798.73851608891,-24798.73851608891,-24798.73851608891,-24798.73851608891,0.0,0.0,0.0,108655.79190851322
2021-08-29,133422.12248188222,-69936.9747021475,308695.3787689819,133422.12248188222,133422.12248188222,-8581.390041834085,-8581.390041834085,-8581.390041834085,-8581.390041834085,-8581.390041834085,-8581.390041834085,0.0,0.0,0.0,124840.73244004813
2021-09-05,133389.71453916232,-78064.53451207065,314833.02217570937,133389.71453916232,133389.71453916232,-23438.925039465594,-23438.925039465594,-23438.925039465594,-23438.925039465594,-23438.925039465594,-23438.925039465594,0.0,0.0,0.0,109950.78949969672
2021-09-19,133324.8986537225,-86191.67133120184,280969.2624419334,133324.8986537225,133324.8986537225,-28369.391470721872,-28369.391470721872,-28369.391470721872,-28369.391470721872,-28369.391470721872,-28369.391470721872,0.0,0.0,0.0,104955.50718300065
2021-09-26,133292.4907110026,-40065.608894279736,338834.6210906629,133292.4907110026,133292.4907110026,15419.711859446252,15419.711859446252,15419.711859446252,15419.711859446252,15419.711859446252,15419.711859446252,0.0,0.0,0.0,148712.20257044886
2021-10-03,133260.0827682827,-31332.775753864604,359574.60671572795,133260.0827682827,133260.0827682827,29480.551058046385,29480.551058046385,29480.551058046385,29480.551058046385,29480.551058046385,29480.551058046385,0.0,0.0,0.0,162740.63382632908
2021-10-10,133227.67482556283,-77923.33600351095,295415.16649387364,133227.67482556283,133227.67482556283,-20292.247651942525,-20292.247651942525,-20292.247651942525,-20292.247651942525,-20292.247651942525,-20292.247651942525,0.0,0.0,0.0,112935.42717362031
2021-10-24,133162.85887016443,-139919.9973161397,240292.60623347506,133162.85887016443,133162.85887016443,-72662.33909182137,-72662.33909182137,-72662.33909182137,-72662.33909182137,-72662.33909182137,-72662.33909182137,0.0,0.0,0.0,60500.51977834306
2021-10-31,133130.45089246522,-13242.950384856656,365500.1762818092,133130.45089246522,133130.45089246522,41689.14672378153,41689.14672378153,41689.14672378153,41689.14672378153,41689.14672378153,41689.14672378153,0.0,0.0,0.0,174819.59761624676
2021-11-07,133098.04291476603,105311.50717075287,496737.79664291965,133098.04291476603,133098.04291476603,176704.3292947714,176704.3292947714,176704.3292947714,176704.3292947714,176704.3292947714,176704.3292947714,0.0,0.0,0.0,309802.3722095374
2021-11-14,133065.63493706682,174474.4696966318,556977.3122399291,133065.63493706682,133065.63493706682,221338.17922879895,221338.17922879895,221338.17922879895,221338.17922879895,221338.17922879895,221338.17922879895,0.0,0.0,0.0,354403.81416586577
2021-12-05,132968.4110039692,-73014.22804772489,315843.83732675493,132968.4110039692,132968.4110039692,-11159.754191042839,-11159.754191042839,-11159.754191042839,-11159.754191042839,-11159.754191042839,-11159.754191042839,0.0,0.0,0.0,121808.65681292636
2021-12-19,132903.59496208516,-68254.47386208539,327711.07714608026,132903.59496208516,132903.59496208516,-8593.269219961767,-8593.269219961767,-8593.269219961767,-8593.269219961767,-8593.269219961767,-8593.269219961767,0.0,0.0,0.0,124310.32574212339
2021-12-26,132871.18694114315,-83336.32862594284,273430.18724530947,132871.18694114315,132871.18694114315,-40968.14223583165,-40968.14223583165,-40968.14223583165,-40968.14223583165,-40968.14223583165,-40968.14223583165,0.0,0.0,0.0,91903.0447053115
2022-01-02,132838.77892020115,-111896.62422640869,264804.81633521913,132838.77892020115,132838.77892020115,-60449.84264439313,-60449.84264439313,-60449.84264439313,-60449.84264439313,-60449.84264439313,-60449.84264439313,0.0,0.0,0.0,72388.93627580802
2022-01-09,132806.37089925914,-63059.41067193231,323790.162873313,132806.37089925914,132806.37089925914,-12713.896495856021,-12713.896495856021,-12713.896495856021,-12713.896495856021,-12713.896495856021,-12713.896495856021,0.0,0.0,0.0,120092.47440340312
2022-01-16,132773.9628783171,18237.510171845763,399020.59913648764,132773.9628783171,132773.9628783171,78555.60110845367,78555.60110845367,78555.60110845367,78555.60110845367,78555.60110845367,78555.60110845367,0.0,0.0,0.0,211329.56398677078
2022-01-23,132741.5548573751,60800.8072871218,469358.96831045806,132741.5548573751,132741.5548573751,122207.56109524338,122207.56109524338,122207.56109524338,122207.56109524338,122207.56109524338,122207.56109524338,0.0,0.0,0.0,254949.11595261848
2022-01-30,132709.14683266822,4038.7665894376905,399324.31333098584,132709.14683266822,132709.14683266822,63715.72388319996,63715.72388319996,63715.72388319996,63715.72388319996,63715.72388319996,63715.72388319996,0.0,0.0,0.0,196424.8707158682
2022-02-06,132676.73880796134,-113284.78205539123,263415.78729495395,132676.73880796134,132676.73880796134,-44429.90471646372,-44429.90471646372,-44429.90471646372,-44429.90471646372,-44429.90471646372,-44429.90471646372,0.0,0.0,0.0,88246.83409149761
2022-02-13,132644.33078325444,-158745.1231049837,228900.97212839674,132644.33078325444,132644.33078325444,-97288.59352359564,-97288.59352359564,-97288.59352359564,-97288.59352359564,-97288.59352359564,-97288.59352359564,0.0,0.0,0.0,35355.737259658796
2022-02-20,132611.92275854756,-103980.97884548288,273742.18537700095,132611.92275854756,132611.92275854756,-55024.19917359212,-55024.19917359212,-55024.19917359212,-55024.19917359212,-55024.19917359212,-55024.19917359212,0.0,0.0,0.0,77587.72358495544
2022-02-27,132579.51473384068,-32613.733759174687,345170.44852735865,132579.51473384068,132579.51473384068,17564.79088094472,17564.79088094472,17564.79088094472,17564.79088094472,17564.79088094472,17564.79088094472,0.0,0.0,0.0,150144.3056147854
2022-03-13,132514.69868442693,-68287.60276937895,326618.0200382261,132514.69868442693,132514.69868442693,-5164.7785463236205,-5164.7785463236205,-5164.7785463236205,-5164.7785463236205,-5164.7785463236205,-5164.7785463236205,0.0,0.0,0.0,127349.9201381033
2022-03-27,132449.8826203408,-43462.20600967195,343157.48403039156,132449.8826203408,132449.8826203408,11097.558949604472,11097.558949604472,11097.558949604472,11097.558949604472,11097.558949604472,11097.558949604472,0.0,0.0,0.0,143547.44156994528
2022-04-03,132417.47458829771,12991.938662359562,411081.21241936565,132417.47458829771,132417.47458829771,76331.13127837874,76331.13127837874,76331.13127837874,76331.13127837874,76331.13127837874,76331.13127837874,0.0,0.0,0.0,208748.60586667646
2022-04-10,132385.06655625466,29644.169384946956,407428.7520296341,132385.06655625466,132385.06655625466,83807.04043253399,83807.04043253399,83807.04043253399,83807.04043253399,83807.04043253399,83807.04043253399,0.0,0.0,0.0,216192.10698878864
2022-04-17,132352.65852421158,-45544.446846641884,342810.1471119248,132352.65852421158,132352.65852421158,15017.469891335422,15017.469891335422,15017.469891335422,15017.469891335422,15017.469891335422,15017.469891335422,0.0,0.0,0.0,147370.12841554702
