amount,user_id,date,transaction_type,category,amount.1,payment_mode,location,notes,month,weekday,year,description,transaction_id
T4999,U018,25-04-2023,Expense,Educaton,3888.0,card,Ahmedabad,Movie tickets,4,Tuesday,2023.0,,
T9824,U061,12-12-2024,Income,Salary,62061.0,CRD,AHM,...,12,Thursday,2024.0,,
T5282,U016,15-04-2022,Expense,Utilties,999999999.0,Crd,DEL,,4,Friday,2022.0,,
T1982,U089,27-02-2021,Income,Others,49683.0,,lucknow,xyz123,2,Saturday,2021.0,,
T5774,U005,14-02-2021,Expense,food,7406.0,card,BANGALORE,xyz123,2,Sunday,2021.0,,
T5731,U027,04-02-2023,Expense,Foods,2206.0,Bank_Transfer,,xyz123,2,Saturday,2023.0,,
T0909,U013,20-04-2024,Expense,Entertainment,7038.0,card,JAI,Gym membership,4,Saturday,2024.0,,
T1653,U099,16-12-2024,Expense,education,8119.0,CARD,Hyderabad,Books,12,Monday,2024.0,,
T2849,U150,10-10-2022,Income,Investment,19947.0,Bank Transfr,LUCKNOW,Coffee,10,Monday,2022.0,,
T10872,U080,22-02-2023,Expense,HEALTH,5252.0,,Delhi,Online course,2,Wednesday,2023.0,,
T11270,U022,09-08-2023,Expense,HEALTH,2134.0,Bank Transfr,JAI,Books,8,Wednesday,2023.0,,
T0361,U055,16-08-2023,Expense,utilities,1081.0,CRD,PUNE,,8,Wednesday,2023.0,,
T4242,U053,15-08-2024,Income,Salary,41573.0,Bank Transfr,mumbai,Coffee,8,Thursday,2024.0,,
T9556,U008,27-06-2024,Income,Freelance,10183.0,,DELHI,,6,Thursday,2024.0,,
T0815,U141,05-10-2021,Expense,Education,9725.0,Bank Transfr,CHE,Restaurant dinner,10,Tuesday,2021.0,,
T7919,U086,27-05-2023,Expense,entertainment,9648.0,Bank Transfr,kolkata,!!!,5,Saturday,2023.0,,
T5695,U061,22-10-2023,Expense,Traval,1643.0,CARD,Mumbai,Petrol,10,Sunday,2023.0,,
T3475,U046,10-12-2022,Income,Freelance,70075.0,Upi,Kolkata,Gym membership,12,Saturday,2022.0,,
T10128,U104,06-09-2024,Expense,uncategorized,6228.0,Cash,hyderabad,,9,Friday,2024.0,,
T2225,U028,06-07-2023,Expense,Education,8204.0,CRD,,!!!,7,Thursday,2023.0,,
T13529,U123,05-11-2021,Expense,health,9771.0,Bank_Transfer,Pune,Petrol,11,Friday,2021.0,,
T12210,U118,25-01-2022,Expense,Rentt,20509.0,Bank Transfr,bangalore,Train ticket,1,Tuesday,2022.0,,
T6904,U063,13-09-2024,Income,Bonus,62193.0,Upi,CHE,Electricity bill,9,Friday,2024.0,,
T0713,U055,22-08-2023,Expense,Utility,3367.0,Bank_Transfer,Ahmedabad,Monthly rent payment,8,Tuesday,2023.0,,
T7323,U009,13-05-2024,Expense,health,2721.0,Upi,BANGALORE,EMI payment,5,Monday,2024.0,,
T11570,U052,23-09-2022,Expense,travel,8283.0,card,AHMEDABAD,...,9,Friday,2022.0,,
T13926,U134,16-09-2024,Expense,Utilities,3520.0,csh,MUMBAI,test,9,Monday,2024.0,,
T5033,U119,18-12-2021,Expense,Traval,999999.0,upi,pune,Lunch,12,Saturday,2021.0,,
T3041,U018,11-07-2021,Expense,Rnt,2966.0,Cash,bangalore,EMI payment,7,Sunday,2021.0,,
T0071,U078,26-04-2024,Expense,Rnt,6141.0,csh,Pune,,4,Friday,2024.0,,
T6626,U049,14-08-2022,Expense,Food,2637.0,Cash,jaipur,Fixed deposit,8,Sunday,2022.0,,
T3552,U095,21-01-2024,Income,Bonus,34145.0,Bank Transfer,HYDERABAD,!!!,1,Sunday,2024.0,,
T3571,U064,05-10-2024,Expense,Entrtnmnt,3143.0,Upi,CHENNAI,Books,10,Saturday,2024.0,,
T1125,U105,22-11-2024,Expense,HEALTH,3929.0,CRD,,Shopping,11,Friday,2024.0,,
T5936,U022,13-06-2021,Expense,uncategorized,6856.0,,Chennai,Shopping,6,Sunday,2021.0,,
T3751,U103,31-05-2024,Income,Bonus,49639.0,,hyderabad,Online course,5,Friday,2024.0,,
T9500,U090,07-06-2022,Expense,Helth,9408.0,cash,hyderabad,Electricity bill,6,Tuesday,2022.0,,
T7093,U096,29-03-2023,Expense,TRAVEL,9681.0,Upi,delhi,Online course,3,Wednesday,2023.0,,
T11932,U100,10-02-2023,Expense,Utility,6704.0,UPI,MUM,Doctor consultation,2,Friday,2023.0,,
T12807,U029,05-06-2021,Income,Freelance,32381.0,Bank Transfer,chennai,...,6,Saturday,2021.0,,
T0409,U137,08-02-2021,Expense,Utility,8841.0,,mumbai,,2,Monday,2021.0,,
T13453,U110,05-11-2024,Expense,Rnt,2979.0,cash,HYD,Medicine,11,Tuesday,2024.0,,
T4967,U113,17-02-2022,Expense,Rentt,47473.0,BankTransfer,hyderabad,Online course,2,Thursday,2022.0,,
T5844,U086,24-04-2021,Expense,Food,2615.0,CRD,Lucknow,ATM withdrawal,4,Saturday,2021.0,,
T12265,U094,02-04-2022,Expense,Utlities,4215.0,Crd,hyderabad,ATM withdrawal,4,Saturday,2022.0,,
T9022,U089,10-03-2024,Expense,Rentt,21376.0,UPI,CHE,test,3,Sunday,2024.0,,
T7016,U145,09-01-2021,Expense,Utility,7391.0,cash,hyderabad,Uber ride,1,Saturday,2021.0,,
T9952,U045,24-12-2022,Expense,Utility,2230.0,,delhi,ATM withdrawal,12,Saturday,2022.0,,
T13401,U064,17-09-2021,Expense,Fod,6197.0,upi,,xyz123,9,Friday,2021.0,,
T7219,U002,28-06-2024,Expense,Educaton,3150.0,Bank Transfr,ahmedabad,,6,Friday,2024.0,,
T4986,U124,04-07-2023,Expense,Traval,1409.0,upi,chennai,xyz123,7,Tuesday,2023.0,,
T2017,U090,14-01-2022,Expense,Utility,7821.0,CASH,PUN,test,1,Friday,2022.0,,
T9479,U114,14-08-2021,Expense,rent,988.0,upi,,Restaurant dinner,8,Saturday,2021.0,,
T2782,U093,01-04-2021,Expense,FOOD,7849.0,,Pune,Petrol,4,Thursday,2021.0,,
T11291,U040,10-06-2024,Income,Bonus,33565.0,Csh,HYDERABAD,Gym membership,6,Monday,2024.0,,
T1066,U057,05-02-2023,Expense,Entertainment,7713.0,upi,pune,Monthly rent payment,2,Sunday,2023.0,,
T4233,U089,30-10-2024,Expense,Education,9806.0,Bank_Transfer,CHENNAI,Petrol,10,Wednesday,2024.0,,
T1925,U060,04-02-2023,Expense,Foodd,3762.0,BankTransfer,HYD,,2,Saturday,2023.0,,
T7901,U028,07-09-2021,Expense,entertainment,356.0,BankTransfer,jaipur,,9,Tuesday,2021.0,,
T9324,U093,03-10-2021,Income,Others,20156.0,cash,Pune,,10,Sunday,2021.0,,
T11898,U035,13-04-2023,Expense,Food,775.0,UPi,,Monthly rent payment,4,Thursday,2023.0,,
T11278,U009,19-07-2022,Expense,Rentt,40813.0,Upi,delhi,Books,7,Tuesday,2022.0,,
T10427,U077,31-12-2024,Expense,Utlities,3414.0,Upi,pune,test,12,Tuesday,2024.0,,
T7679,U079,03-05-2024,Expense,Education,2274.0,cash,HYDERABAD,Grocery shopping,5,Friday,2024.0,,
T4874,U123,30-12-2024,Expense,travel,8592.0,Csh,PUN,Lunch,12,Monday,2024.0,,
T8417,U089,17-05-2022,Expense,Foods,4945.0,CRD,ahmedabad,test,5,Tuesday,2022.0,,
T4377,U065,05-04-2022,Expense,RENT,5935.0,Bank Transfr,HYD,Coffee,4,Tuesday,2022.0,,
T10267,U128,19-10-2021,Expense,RENT,6484.0,Upi,JAI,Fixed deposit,10,Tuesday,2021.0,,
T6008,U053,21-05-2023,Expense,Foodd,2232.0,,PUN,Books,5,Sunday,2023.0,,
T8940,U088,05-11-2024,Expense,uncategorized,3825.0,CASH,Bangalore,,11,Tuesday,2024.0,,
T2577,U075,13-07-2022,Expense,Utilities,4923.0,bank transfer,MUMBAI,,7,Wednesday,2022.0,,
T5467,U104,05-11-2023,Expense,food,5292.0,Bank_Transfer,hyderabad,Gym membership,11,Sunday,2023.0,,
T4870,U014,04-10-2024,Expense,Rnt,9348.0,bank transfer,JAIPUR,,10,Friday,2024.0,,
T13685,U047,03-08-2021,Income,Investment,74243.0,Cash,JAIPUR,Shopping,8,Tuesday,2021.0,,
T6605,U124,17-10-2023,Expense,FOOD,8640.0,cash,Jaipur,Coffee,10,Tuesday,2023.0,,
T3940,U085,25-06-2021,Expense,food,9784.0,Crd,JAIPUR,Uber ride,6,Friday,2021.0,,
T6257,U036,21-02-2023,Expense,Food,4816.0,UPi,PUN,Lunch,2,Tuesday,2023.0,,
T10279,U087,13-03-2021,Income,Freelance,46587.0,CRD,LUCKNOW,asdfgh,3,Saturday,2021.0,,
T0177,U038,13-06-2022,Expense,Others,6610.0,csh,PUNE,Restaurant dinner,6,Monday,2022.0,,
T3986,U077,20-12-2024,Expense,travel,4692.0,upi,jaipur,Fixed deposit,12,Friday,2024.0,,
T8163,U016,29-03-2021,Expense,Entertain,7845.0,csh,DEL,asdfgh,3,Monday,2021.0,,
T3840,U144,23-08-2022,Expense,Utilties,6908.0,Card,BAN,,8,Tuesday,2022.0,,
T3774,U020,08-09-2023,Expense,Rentt,47146.0,card,Delhi,,9,Friday,2023.0,,
T3961,U111,15-07-2024,Expense,HEALTH,5749.0,csh,pune,Internet bill,7,Monday,2024.0,,
T8714,U065,23-06-2021,Expense,Entertain,237.0,Bank Transfer,JAIPUR,Petrol,6,Wednesday,2021.0,,
T8551,U065,20-03-2024,Expense,utilities,2288.0,UPI,Kolkata,,3,Wednesday,2024.0,,
T10622,U030,26-01-2022,Expense,Travel,5756.0,Bank_Transfer,HYD,ATM withdrawal,1,Wednesday,2022.0,,
T4430,U147,04-10-2024,Expense,RENT,287.0,CARD,HYDERABAD,Restaurant dinner,10,Friday,2024.0,,
T10574,U061,28-10-2021,Expense,Education,9601.0,,kolkata,Uber ride,10,Thursday,2021.0,,
T9379,U106,26-11-2021,Expense,Rent,21603.0,csh,JAIPUR,Petrol,11,Friday,2021.0,,
T0617,U046,22-01-2021,Expense,Fod,1641.0,csh,kolkata,,1,Friday,2021.0,,
