ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-01,9976.756039999998,339.3983246531452,18883.96386677789,9976.756039999998,9976.756039999998,0.0,0.0,0.0,0.0,0.0,0.0,9976.756039999998
2024-02-01,10023.782633009941,583.0551038687577,19148.942276062953,10023.782633009941,10023.782633009941,0.0,0.0,0.0,0.0,0.0,0.0,10023.782633009941
2024-03-01,10067.775257671814,23.991559259027795,19168.49638098271,10067.775257671814,10067.775257671814,0.0,0.0,0.0,0.0,0.0,0.0,10067.775257671814
2024-04-01,10114.801891609666,1115.8595930765582,19592.06723783119,10114.801891609666,10114.801891609666,0.0,0.0,0.0,0.0,0.0,0.0,10114.801891609666
2024-05-01,10160.31145478249,578.9720280232648,19991.140435351477,10160.31145478249,10160.31145478249,0.0,0.0,0.0,0.0,0.0,0.0,10160.31145478249
2024-06-01,10207.337681707975,604.8025116307139,20237.15737215406,10207.337681707975,10207.337681707975,0.0,0.0,0.0,0.0,0.0,0.0,10207.337681707975
2024-07-01,10252.846806840973,1023.1278668804914,19469.597590025307,10252.846806840973,10252.846806840973,0.0,0.0,0.0,0.0,0.0,0.0,10252.846806840973
2024-08-01,10299.872794255329,645.4730970417434,19320.413648311576,10299.872794255329,10299.872794255329,0.0,0.0,0.0,0.0,0.0,0.0,10299.872794255329
2024-09-01,10337.825926165206,504.7097312783732,19451.528928999214,10337.825926165206,10337.825926165206,0.0,0.0,0.0,0.0,0.0,0.0,10337.825926165206
2024-10-01,10374.554750129832,1293.9909582246341,19075.91701106172,10374.554750129832,10374.554750129832,0.0,0.0,0.0,0.0,0.0,0.0,10374.554750129832
2024-11-01,10412.507867783808,1382.8891269654462,19834.653359644453,10412.507867783808,10412.507867783808,0.0,0.0,0.0,0.0,0.0,0.0,10412.507867783808
2024-12-01,10449.236691319915,1184.975607004237,19878.989282027258,10449.236691319915,10449.236691319915,0.0,0.0,0.0,0.0,0.0,0.0,10449.236691319915
2024-12-31,10485.96551485602,706.1355889032296,19853.487767900097,10485.718615527272,10486.257228133547,0.0,0.0,0.0,0.0,0.0,0.0,10485.96551485602
2025-01-31,10523.918632509994,1252.379107470597,20004.604374815724,10523.11115143507,10524.921570383598,0.0,0.0,0.0,0.0,0.0,0.0,10523.918632509994
2025-02-28,10558.198867810359,1559.5386877635647,20183.00457656499,10556.670045311437,10560.03391492007,0.0,0.0,0.0,0.0,0.0,0.0,10558.198867810359
2025-03-31,10596.151985464336,1189.863218631318,20176.219630314565,10593.619133342034,10598.966953327286,0.0,0.0,0.0,0.0,0.0,0.0,10596.151985464336
2025-04-30,10632.88080900044,982.4409669031688,20282.595342254197,10629.276430072763,10636.848187612795,0.0,0.0,0.0,0.0,0.0,0.0,10632.88080900044
2025-05-31,10670.833926654417,654.7839521536893,19928.971695302025,10666.186010857626,10676.265548267465,0.0,0.0,0.0,0.0,0.0,0.0,10670.833926654417
