transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,month,weekday,year
T4999,U018,2023-04-25,Expense,Educaton,3888.0,card,Ahmedabad,Movie tickets,4,Tuesday,2023
T9824,U061,2024-12-12,Income,Salary,62061.0,CRD,AHM,...,12,Thursday,2024
T5282,U016,2022-04-15,Expense,Utilties,999999999.0,Crd,DEL,,4,Friday,2022
T1982,U089,2021-02-27,Income,Others,49683.0,,lucknow,xyz123,2,Saturday,2021
T5774,U005,2021-02-14,Expense,food,7406.0,card,BANGALORE,xyz123,2,Sunday,2021
T5731,U027,2023-02-04,Expense,Foods,2206.0,Bank_Transfer,,xyz123,2,Saturday,2023
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,card,JAI,Gym membership,4,Saturday,2024
T1653,U099,2024-12-16,Expense,education,8119.0,CARD,Hyderabad,Books,12,Monday,2024
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank Transfr,LUCKNOW,Coffee,10,Monday,2022
T10872,U080,2023-02-22,Expense,HEALTH,5252.0,,Delhi,Online course,2,Wednesday,2023
T11270,U022,2023-08-09,Expense,HEALTH,2134.0,Bank Transfr,JAI,Books,8,Wednesday,2023
T0361,U055,2023-08-16,Expense,utilities,1081.0,CRD,PUNE,,8,Wednesday,2023
T4242,U053,2024-08-15,Income,Salary,41573.0,Bank Transfr,mumbai,Coffee,8,Thursday,2024
T9556,U008,2024-06-27,Income,Freelance,10183.0,,DELHI,,6,Thursday,2024
T0815,U141,2021-10-05,Expense,Education,9725.0,Bank Transfr,CHE,Restaurant dinner,10,Tuesday,2021
T7919,U086,2023-05-27,Expense,entertainment,9648.0,Bank Transfr,kolkata,!!!,5,Saturday,2023
T5695,U061,2023-10-22,Expense,Traval,1643.0,CARD,Mumbai,Petrol,10,Sunday,2023
T3475,U046,2022-12-10,Income,Freelance,70075.0,Upi,Kolkata,Gym membership,12,Saturday,2022
T10128,U104,2024-09-06,Expense,uncategorized,6228.0,Cash,hyderabad,,9,Friday,2024
T2225,U028,2023-07-06,Expense,Education,8204.0,CRD,,!!!,7,Thursday,2023
T13529,U123,2021-11-05,Expense,health,9771.0,Bank_Transfer,Pune,Petrol,11,Friday,2021
T12210,U118,2022-01-25,Expense,Rentt,20509.0,Bank Transfr,bangalore,Train ticket,1,Tuesday,2022
T6904,U063,2024-09-13,Income,Bonus,62193.0,Upi,CHE,Electricity bill,9,Friday,2024
T0713,U055,2023-08-22,Expense,Utility,3367.0,Bank_Transfer,Ahmedabad,Monthly rent payment,8,Tuesday,2023
T7323,U009,2024-05-13,Expense,health,2721.0,Upi,BANGALORE,EMI payment,5,Monday,2024
T11570,U052,2022-09-23,Expense,travel,8283.0,card,AHMEDABAD,...,9,Friday,2022
T13926,U134,2024-09-16,Expense,Utilities,3520.0,csh,MUMBAI,test,9,Monday,2024
T5033,U119,2021-12-18,Expense,Traval,999999.0,upi,pune,Lunch,12,Saturday,2021
T3041,U018,2021-07-11,Expense,Rnt,2966.0,Cash,bangalore,EMI payment,7,Sunday,2021
T0071,U078,2024-04-26,Expense,Rnt,6141.0,csh,Pune,,4,Friday,2024
T6626,U049,2022-08-14,Expense,Food,2637.0,Cash,jaipur,Fixed deposit,8,Sunday,2022
T3552,U095,2024-01-21,Income,Bonus,34145.0,Bank Transfer,HYDERABAD,!!!,1,Sunday,2024
T3571,U064,2024-10-05,Expense,Entrtnmnt,3143.0,Upi,CHENNAI,Books,10,Saturday,2024
T1125,U105,2024-11-22,Expense,HEALTH,3929.0,CRD,,Shopping,11,Friday,2024
T5936,U022,2021-06-13,Expense,uncategorized,6856.0,,Chennai,Shopping,6,Sunday,2021
